Product Name,Concentration uM,morphology score,infection rate (%),Cell model
oprozomib,0.83,-0.31,108.0,Vero E6
ixazomib-citrate,0.83,0.1,106.5,Vero E6
MLN9708,0.83,-0.05,108.5,Vero E6
elesclomol,10.0,0.88,19.5,Vero E6
STA-5326,10.0,-0.33,43.5,Vero E6
VE-822,0.83,0.57,52.0,Vero E6
Salinomycin (Procoxacin),10.0,-0.0,107.5,Vero E6
PF-02545920,10.0,0.93,8.0,Vero E6
PF-03882845,10.0,-0.17,108.0,Vero E6
NVP-AEW541,0.83,0.15,106.0,Vero E6
MONENSIN SODIUM,10.0,0.56,39.0,Vero E6
MG-132,10.0,0.51,66.0,Vero E6
K-Ras(G12C)-inhibitor-12,10.0,-0.14,111.0,Vero E6
GSK2606414,0.83,0.03,92.0,Vero E6
cycloheximide,10.0,0.39,69.0,Vero E6
bortezomib,10.0,-0.1,96.5,Vero E6
AZD2858,0.83,0.22,99.0,Vero E6
APY0201,10.0,0.26,50.5,Vero E6
YM-201636,10.0,0.17,94.5,Vero E6
Y-320,0.83,0.18,94.0,Vero E6
Y-29794,0.83,0.36,94.5,Vero E6
Y-134,10.0,0.43,74.5,Vero E6
wiskostatin,0.83,0.15,109.5,Vero E6
WAY-600,0.83,0.49,69.0,Vero E6
VU0364739,10.0,0.77,26.0,Vero E6
URMC-099,0.83,0.84,61.0,Vero E6
UNC1999,10.0,0.07,109.5,Vero E6
UNC0642,10.0,0.24,25.5,Vero E6
UNC0638,10.0,0.3,22.5,Vero E6
U-18666A,0.83,0.23,84.0,Vero E6
toremifene,0.83,-0.05,112.0,Vero E6
tilorone,0.83,0.19,105.0,Vero E6
thioridazine,0.83,0.3,109.0,Vero E6
thiethylperazine,10.0,0.72,29.5,Vero E6
thaliblastine,10.0,0.44,30.5,Vero E6
tetrindole,0.83,-0.0,107.5,Vero E6
tetrandrine,10.0,0.51,12.0,Vero E6
tenovin-6,0.83,-0.1,86.0,Vero E6
TAK-960,0.83,-0.19,100.5,Vero E6
sunitinib,0.83,0.4,99.0,Vero E6
sulforaphane,10.0,0.92,6.5,Vero E6
STF-62247,0.83,0.46,61.0,Vero E6
stemregenin-1,10.0,0.69,67.0,Vero E6
SR-33805,0.83,0.03,97.5,Vero E6
spiperone,10.0,0.76,22.0,Vero E6
sorafenib,0.83,-0.25,118.5,Vero E6
SNAP-5089,0.83,0.21,98.5,Vero E6
SKLB1002,10.0,0.4,102.0,Vero E6
siramesine,0.83,0.09,94.5,Vero E6
SGI-1776,0.83,0.2,107.5,Vero E6
SGI-1027,0.83,-0.01,103.5,Vero E6
selamectin,10.0,0.6,71.0,Vero E6
securinine,10.0,0.33,85.5,Vero E6
SB-268262,0.83,-0.07,81.0,Vero E6
SB-216763,10.0,0.0,102.0,Vero E6
satraplatin,0.83,0.0,104.5,Vero E6
SAR405,0.83,0.55,70.0,Vero E6
RU-28318,10.0,0.1,104.0,Vero E6
RS-39604,0.83,0.26,102.0,Vero E6
rimcazole,10.0,0.62,19.5,Vero E6
raloxifene,0.83,0.08,101.0,Vero E6
quinestrol,10.0,-0.03,102.0,Vero E6
pyrrolidine-dithiocarbamate,0.83,0.11,98.0,Vero E6
pyrithione-zinc,10.0,0.04,91.5,Vero E6
pyrintegrin,0.83,0.71,60.5,Vero E6
PRT062607,10.0,0.58,17.5,Vero E6
prenylamine,10.0,0.88,19.5,Vero E6
piribedil,10.0,0.1,98.5,Vero E6
pimavanserin,10.0,0.71,23.0,Vero E6
PIK-293,10.0,0.37,45.0,Vero E6
pifithrin-mu,0.83,0.17,92.0,Vero E6
PHA-665752,0.83,0.16,106.0,Vero E6
perhexiline,0.83,-0.22,113.5,Vero E6
penfluridol,0.83,0.17,79.0,Vero E6
PD-173074,0.83,0.13,107.0,Vero E6
PD-153035,10.0,-0.24,104.0,Vero E6
PD-156707,10.0,0.49,69.0,Vero E6
PD-102807,10.0,0.73,28.5,Vero E6
parthenolide-(alternate-stereo),0.83,-0.11,111.0,Vero E6
parthenolide-(alternate-stereo),0.83,0.11,107.5,Vero E6
parthenolide-(alternate-stereo),0.83,0.02,99.0,Vero E6
P22077,10.0,0.53,38.5,Vero E6
ozanimod,0.83,0.26,101.0,Vero E6
Oridonin (Isodonol),0.83,0.11,97.0,Vero E6
Omaveloxolone (RTA-408),10.0,-0.21,111.5,Vero E6
NVP-BSK805,0.83,0.05,116.5,Vero E6
NVP-BHG712,10.0,-0.06,74.0,Vero E6
NVP-ADW742,0.83,0.08,92.0,Vero E6
NU-7441,0.83,0.35,68.0,Vero E6
NU-6027,10.0,0.62,54.5,Vero E6
NTNCB,0.83,-0.02,97.5,Vero E6
NT157,0.83,0.19,103.5,Vero E6
NSC-319726,0.83,0.03,113.5,Vero E6
NSC-3852,10.0,-0.13,108.5,Vero E6
NS-3861,10.0,0.43,69.5,Vero E6
NPS-2143,10.0,0.7,9.5,Vero E6
NNC-05-2090,0.83,0.03,97.5,Vero E6
NKP-1339,10.0,0.44,43.0,Vero E6
nelfinavir,10.0,0.72,47.5,Vero E6
N-benzylnaltrindole,0.83,0.15,101.5,Vero E6
mycophenolate-mofetil,10.0,-0.12,108.5,Vero E6
ML298,10.0,0.26,75.5,Vero E6
MK2-IN-1,0.83,0.13,105.5,Vero E6
MK-2206,0.83,0.26,106.5,Vero E6
miglitol,10.0,0.11,105.5,Vero E6
mibefradil,10.0,0.79,17.5,Vero E6
metixene,0.83,0.38,86.0,Vero E6
metitepine,0.83,-0.05,112.0,Vero E6
meisoindigo,0.83,0.09,96.5,Vero E6
mefloquine,0.83,-0.11,112.5,Vero E6
MCOPPB,10.0,0.62,22.0,Vero E6
masitinib,10.0,0.76,43.0,Vero E6
madrasin,10.0,0.04,107.0,Vero E6
LY2228820,10.0,-0.21,111.0,Vero E6
LY2090314,10.0,-0.44,105.0,Vero E6
lomitapide,0.83,0.22,87.5,Vero E6
lofemizole,10.0,-0.09,102.0,Vero E6
lasofoxifene,0.83,0.11,97.0,Vero E6
L-733060,10.0,0.78,16.0,Vero E6
KU-60019,10.0,0.62,60.0,Vero E6
KG-5,0.83,0.11,36.0,Vero E6
serdemetan,10.0,0.93,37.5,Vero E6
JLK-6,10.0,0.02,100.5,Vero E6
JIB04,10.0,0.05,103.0,Vero E6
JHW-007,0.83,0.05,86.0,Vero E6
ixazomib,0.83,-0.03,93.5,Vero E6
IT1t,10.0,0.71,35.0,Vero E6
ISRIB,10.0,-0.18,106.5,Vero E6
IPAG,0.83,0.04,113.0,Vero E6
imatinib,10.0,0.74,37.0,Vero E6
ICI-199441,10.0,0.79,21.5,Vero E6
HTH-01-015,0.83,0.14,104.5,Vero E6
homoharringtonine,10.0,0.84,23.0,Vero E6
harringtonine,10.0,0.55,49.0,Vero E6
haloprogin,10.0,0.57,32.0,Vero E6
GW-803430,10.0,0.52,53.0,Vero E6
GSK461364,0.83,0.06,94.0,Vero E6
GR-127935,0.83,0.07,102.0,Vero E6
golvatinib,0.83,0.06,104.5,Vero E6
go-6983,0.83,-0.03,107.0,Vero E6
GK921,0.83,0.1,86.0,Vero E6
gedunin,10.0,0.15,105.5,Vero E6
GANT-61,10.0,0.58,42.0,Vero E6
fluphenazine,0.83,-0.17,116.0,Vero E6
flumatinib,10.0,0.31,25.5,Vero E6
FLI-06,0.83,-0.1,104.0,Vero E6
fingolimod,10.0,0.72,26.5,Vero E6
Endoxifen HCl,10.0,0.82,26.0,Vero E6
emetine,0.83,-0.19,108.0,Vero E6
ELN-441958,10.0,0.76,29.5,Vero E6
EHop-016,0.83,0.23,93.0,Vero E6
dronedarone,0.83,-0.07,115.5,Vero E6
droloxifene,10.0,0.73,24.0,Vero E6
ditiocarb-sodium-trihydrate,10.0,0.76,11.0,Vero E6
disulfiram,10.0,0.55,23.0,Vero E6
ASC-J9,10.0,0.33,80.5,Vero E6
dicycloverine,10.0,0.31,90.0,Vero E6
DDR1-IN-1,0.83,0.03,103.5,Vero E6
CYM-50358,10.0,0.72,7.5,Vero E6
cyclovalone,10.0,0.07,93.0,Vero E6
cyclosporin-A,10.0,0.51,87.0,Vero E6
curcumin,10.0,0.55,61.5,Vero E6
crizotinib-(S),0.83,0.4,99.0,Vero E6
costunolide,10.0,0.22,78.5,Vero E6
colforsin-daproate,0.83,0.5,88.5,Vero E6
clomifene,0.83,0.17,96.5,Vero E6
CK-636,10.0,0.14,103.0,Vero E6
cinnarazine,10.0,0.02,102.0,Vero E6
CID-5458317,0.83,0.21,85.5,Vero E6
CGP-71683,0.83,-0.04,93.5,Vero E6
ceritinib,0.83,0.18,104.0,Vero E6
cepharanthine,10.0,0.46,77.5,Vero E6
carfilzomib,0.83,0.0,42.0,Vero E6
calpeptin,10.0,0.81,12.5,Vero E6
bruceantin,0.83,-0.03,109.0,Vero E6
brefeldin-A,0.83,0.04,107.0,Vero E6
BMS-833923,0.83,0.21,98.0,Vero E6
BMS-566419,10.0,0.57,55.0,Vero E6
BINA,10.0,0.13,108.0,Vero E6
bifonazole,10.0,0.41,79.0,Vero E6
BIBU-1361,10.0,-0.27,111.5,Vero E6
BHQ,10.0,-0.18,106.0,Vero E6
NVP-BGJ398,0.83,-0.05,117.0,Vero E6
bazedoxifene,0.83,0.2,101.0,Vero E6
BAY-11-7082,0.83,0.17,112.5,Vero E6
Bardoxolone Methyl,10.0,-0.26,107.0,Vero E6
bardoxolone,0.83,0.16,104.0,Vero E6
aztreonam,10.0,-0.04,94.0,Vero E6
azelaic-acid,10.0,0.03,104.5,Vero E6
AZ191,0.83,0.38,100.5,Vero E6
AY-9944,10.0,0.52,49.0,Vero E6
auranofin,0.83,0.3,79.0,Vero E6
arglabin,10.0,0.14,68.0,Vero E6
DU-728,10.0,0.09,97.5,Vero E6
apafant,10.0,-0.08,112.0,Vero E6
anisomycin,0.83,0.04,102.0,Vero E6
andrographolide,0.83,0.12,106.0,Vero E6
amodiaquine,10.0,0.84,17.5,Vero E6
AMG-PERK-44,10.0,0.06,76.0,Vero E6
AMG-548,10.0,0.65,35.0,Vero E6
alpha-methylhistamine-dihydrobromide-(S)-(+),10.0,0.13,100.5,Vero E6
tyrphostin-AG-1478,10.0,-0.32,117.5,Vero E6
afimoxifene,10.0,0.8,27.5,Vero E6
5-carboxamidotryptamine,10.0,0.03,103.0,Vero E6
3'-fluorobenzylspiperone,0.83,0.33,103.0,Vero E6
3-CPMT,0.83,0.25,98.5,Vero E6
2-pyridylethylamine,10.0,0.07,104.0,Vero E6
10-DEBC,0.83,0.33,93.0,Vero E6
crizotinib-(S),10.0,0.6,23.0,Vero E6
Triparanol,0.83,0.08,77.5,Vero E6
zuclopenthixol,0.83,0.01,109.5,Vero E6
ZSTK-474,10.0,-0.05,107.5,Vero E6
zoxazolamine,10.0,0.01,97.0,Vero E6
zotepine,0.83,0.06,106.5,Vero E6
zotarolimus,0.83,-0.29,119.0,Vero E6
zonisamide,10.0,0.16,95.5,Vero E6
zoniporide,10.0,0.13,115.0,Vero E6
zometapine,10.0,0.14,104.5,Vero E6
zomepirac,10.0,0.12,103.5,Vero E6
ZOLPIDEM,10.0,0.14,98.5,Vero E6
zolmitriptan,10.0,0.13,92.5,Vero E6
zolimidine,10.0,0.21,85.0,Vero E6
zoledronic-acid,10.0,0.04,115.5,Vero E6
zolantidine,10.0,0.67,44.0,Vero E6
zofenopril-calcium,10.0,0.09,104.0,Vero E6
ZM-447439,10.0,-0.13,107.5,Vero E6
ZM-39923,10.0,0.09,104.5,Vero E6
ZM-336372,10.0,-0.06,97.5,Vero E6
ZM-323881,10.0,0.06,99.0,Vero E6
ZM-306416,10.0,-0.17,117.0,Vero E6
ZM-241385,10.0,-0.1,111.0,Vero E6
ZM-226600,10.0,0.35,78.0,Vero E6
ZLN005,10.0,0.56,64.0,Vero E6
ZLN024,10.0,0.08,104.5,Vero E6
ZK-93426,10.0,0.29,88.5,Vero E6
ZK-93423,10.0,-0.07,97.5,Vero E6
ZK-200775,10.0,0.12,99.0,Vero E6
ZK-164015,0.83,0.01,102.5,Vero E6
ziprasidone,10.0,0.33,100.5,Vero E6
zinc-undecylenate,10.0,0.08,110.5,Vero E6
zimelidine,10.0,0.17,97.0,Vero E6
zilpaterol,10.0,0.19,101.5,Vero E6
zilpaterol,10.0,0.16,109.5,Vero E6
zileuton,10.0,0.07,98.5,Vero E6
zidovudine,10.0,-0.14,107.5,Vero E6
zibotentan,10.0,0.11,120.0,Vero E6
zebularine,10.0,0.08,104.5,Vero E6
zeatin,10.0,-0.02,105.5,Vero E6
ZD-7288,10.0,0.2,94.0,Vero E6
ZD-7155,10.0,0.26,98.5,Vero E6
ZD-7114,10.0,0.02,102.0,Vero E6
ZD-2079,10.0,-0.1,106.0,Vero E6
ZCL-278,10.0,0.07,107.5,Vero E6
CT-7758,10.0,0.04,98.0,Vero E6
zatebradine,10.0,-0.0,112.5,Vero E6
zardaverine,10.0,0.29,83.5,Vero E6
ZAPA,10.0,0.1,107.5,Vero E6
zanamivir,10.0,0.11,108.0,Vero E6
zamifenacin,10.0,0.15,96.0,Vero E6
ZAMI-633,10.0,0.01,111.5,Vero E6
zaltoprofen,10.0,0.24,104.5,Vero E6
zaltidine,10.0,0.05,106.0,Vero E6
ZALEPLON,10.0,0.06,98.5,Vero E6
zaldaride,10.0,-0.15,112.0,Vero E6
zalcitabine,10.0,0.09,104.5,Vero E6
zafirlukast,10.0,0.28,105.0,Vero E6
zacopride,10.0,0.17,89.0,Vero E6
YZ9,10.0,0.06,93.5,Vero E6
CKD-712,10.0,-0.1,119.0,Vero E6
